epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,502.213,3.18884,4.67642,3.65394,0.42908,0.01941,0.00723,0.00261,2.41891,3.90349,2.7759,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,970.232,2.00571,3.18978,2.17163,0.25088,0.10617,0.05795,0.02958,1.8536,2.8623,1.99329,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,1438.56,1.73285,2.62917,1.80974,0.28328,0.14987,0.09176,0.04981,1.70586,2.72763,1.77484,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,1903.73,1.61266,2.36721,1.66349,0.33866,0.18099,0.14228,0.08223,1.57744,2.21209,1.61318,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2367.66,1.52895,2.19017,1.57489,0.35424,0.21104,0.18084,0.10838,1.50002,2.04795,1.52022,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2831,1.48501,2.08004,1.52446,0.37806,0.23572,0.21397,0.13281,1.45146,1.91746,1.47534,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3292.28,1.45562,2.00716,1.49027,0.40307,0.24499,0.23533,0.1497,1.4144,1.84092,1.44826,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3755.73,1.43495,1.95178,1.47091,0.3951,0.264,0.24852,0.15821,1.3865,1.77442,1.41716,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4220.47,1.41406,1.90778,1.44995,0.46711,0.27004,0.27137,0.17525,1.35397,1.72048,1.3942,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4682.51,1.40192,1.87824,1.43627,0.46574,0.28823,0.28132,0.18307,1.33085,1.66451,1.36685,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5145.87,1.38829,1.85315,1.42306,0.44549,0.30573,0.29489,0.19238,1.31701,1.6336,1.35259,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5608.93,1.38131,1.82195,1.41088,0.47672,0.30688,0.30426,0.20058,1.30402,1.59779,1.33861,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,6073.63,1.37176,1.8081,1.40387,0.46503,0.32191,0.31283,0.20676,1.28984,1.57018,1.32685,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6536.78,1.3645,1.78471,1.39543,0.49045,0.31928,0.3198,0.21172,1.28012,1.54698,1.31675,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6997.25,1.35794,1.77314,1.38802,0.47177,0.33908,0.33031,0.21953,1.27249,1.5224,1.30768,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7463,1.35048,1.75407,1.37865,0.50052,0.32819,0.3348,0.2227,1.26053,1.50294,1.29758,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7927.38,1.34733,1.74198,1.37288,0.49021,0.34614,0.34148,0.22822,1.2536,1.49047,1.28947,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,8389.43,1.3405,1.72906,1.3665,0.48535,0.35217,0.34536,0.23122,1.24532,1.47844,1.28261,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8853.1,1.33608,1.72167,1.36278,0.51163,0.33968,0.3496,0.23482,1.24157,1.46751,1.27848,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,9340.61,1.33074,1.70751,1.35578,0.51005,0.34455,0.35182,0.23711,1.23748,1.45648,1.27452,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9818.15,1.32811,1.70266,1.35402,0.51135,0.34493,0.3541,0.23824,1.23256,1.45015,1.2702,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,10325.8,1.32504,1.69123,1.34904,0.51374,0.34574,0.3559,0.24003,1.22975,1.44456,1.26702,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,10792.9,1.32114,1.68722,1.34561,0.51747,0.34582,0.35821,0.242,1.22541,1.43965,1.26342,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,11271,1.31909,1.67586,1.34206,0.51438,0.35014,0.35886,0.24283,1.22342,1.43514,1.26122,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,11749.1,1.3145,1.66889,1.33905,0.51598,0.35167,0.35943,0.24336,1.22187,1.43213,1.25923,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,12215.2,1.3151,1.66438,1.33628,0.51682,0.35104,0.36136,0.2449,1.21991,1.42952,1.25712,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,12681.3,1.3127,1.65859,1.33366,0.51053,0.3534,0.36264,0.24585,1.21785,1.42734,1.25507,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,13148.6,1.30781,1.65122,1.33122,0.51144,0.35253,0.36353,0.24666,1.21622,1.42542,1.25355,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
