epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,468.817,3.18035,4.66289,3.63707,0.48474,0.01924,0.01046,0.00394,2.37486,3.86952,2.69117,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,902.489,1.96358,3.15439,2.12043,0.33887,0.10055,0.0603,0.03192,1.81319,2.83853,1.94253,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,1333.45,1.69321,2.60677,1.78644,0.26719,0.15107,0.09487,0.05375,1.64935,2.56734,1.72706,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,1764.41,1.56903,2.34031,1.65033,0.34455,0.18236,0.13626,0.08006,1.5338,2.22979,1.62076,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2190.23,1.48662,2.15972,1.56628,0.36714,0.22173,0.19214,0.11776,1.4484,1.96928,1.51304,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2618.6,1.44182,2.05011,1.5173,0.36727,0.24703,0.21635,0.13879,1.39901,1.89584,1.47312,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3044.22,1.41297,1.97765,1.48683,0.40783,0.25225,0.23334,0.15008,1.36924,1.8044,1.43617,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3470.86,1.39219,1.91938,1.46726,0.40089,0.26942,0.25929,0.16873,1.34309,1.72981,1.40962,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3903.51,1.37309,1.87598,1.44668,0.44379,0.2823,0.2761,0.18101,1.31814,1.68503,1.39319,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4328.8,1.36261,1.8452,1.4346,0.45238,0.29093,0.28928,0.19176,1.29298,1.63073,1.36432,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4754.31,1.34853,1.82041,1.42338,0.48836,0.3,0.30471,0.20244,1.27916,1.59526,1.35572,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5180.23,1.34202,1.79031,1.41175,0.45296,0.32383,0.31214,0.20891,1.26614,1.56483,1.34032,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5606.14,1.33244,1.77913,1.40519,0.43863,0.32749,0.32311,0.217,1.24867,1.54046,1.32793,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6037.73,1.32591,1.75553,1.39842,0.48677,0.32732,0.3285,0.22132,1.23915,1.51351,1.31921,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6462.5,1.31987,1.74312,1.39141,0.46615,0.33973,0.33839,0.22827,1.23142,1.49016,1.31183,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,6888.93,1.31281,1.72579,1.38326,0.4618,0.33954,0.34179,0.23133,1.22209,1.47655,1.30313,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7315.34,1.3101,1.7124,1.37744,0.47263,0.34946,0.34702,0.23569,1.21835,1.46326,1.2979,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7743.23,1.30332,1.70352,1.37318,0.48826,0.36023,0.35389,0.24011,1.21112,1.4497,1.29105,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8170.29,1.29849,1.69593,1.37054,0.4957,0.35862,0.35635,0.24272,1.20597,1.43976,1.2872,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,8596.46,1.29502,1.68189,1.36396,0.49376,0.35307,0.35865,0.24537,1.20079,1.43116,1.2824,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9021.74,1.2924,1.67577,1.36169,0.48878,0.36208,0.362,0.24771,1.19768,1.42482,1.27951,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,9461.39,1.28969,1.66505,1.35641,0.49498,0.3605,0.36384,0.24914,1.19473,1.41887,1.27629,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,9897.89,1.28611,1.65954,1.35248,0.49547,0.36105,0.36539,0.25035,1.1934,1.41304,1.27387,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,10346.6,1.28298,1.64898,1.35035,0.50471,0.36023,0.36635,0.25217,1.19183,1.40877,1.2722,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,10784.4,1.27744,1.64168,1.34669,0.50849,0.35804,0.36776,0.25358,1.19009,1.40478,1.27055,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,11248.6,1.27856,1.6372,1.34548,0.51334,0.35941,0.36871,0.25453,1.18843,1.40133,1.26889,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,11688.8,1.2764,1.63153,1.34471,0.51217,0.36247,0.36989,0.25538,1.18648,1.39914,1.26736,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,12121.1,1.27275,1.62511,1.33993,0.51206,0.36353,0.3707,0.25647,1.18481,1.39695,1.26575,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,12554.1,1.27207,1.61903,1.33783,0.51425,0.36543,0.37138,0.25723,1.18287,1.39503,1.26385,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,12985.2,1.26774,1.61289,1.33564,0.51302,0.36736,0.37302,0.25844,1.18131,1.39394,1.2626,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,13419.7,1.26648,1.60602,1.33236,0.51546,0.36666,0.37348,0.25921,1.17993,1.39337,1.26124,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,13853.7,1.26509,1.6024,1.33116,0.52968,0.3643,0.37433,0.26002,1.17895,1.39318,1.26037,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,14288.9,1.26315,1.59712,1.32903,0.52939,0.36377,0.3752,0.26077,1.17742,1.39298,1.2592,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14749,1.25806,1.59279,1.32697,0.5333,0.36188,0.37606,0.26183,1.1765,1.39374,1.25794,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,15203.3,1.2555,1.58782,1.32418,0.53782,0.36104,0.37696,0.26232,1.17513,1.3947,1.25665,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,15639.2,1.25826,1.58453,1.32403,0.53725,0.36157,0.37727,0.26274,1.17462,1.39653,1.25574,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,16076.8,1.25318,1.57628,1.31983,0.53775,0.36078,0.37766,0.26303,1.17343,1.39857,1.25446,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,16513.4,1.25333,1.57496,1.31948,0.53681,0.36019,0.37805,0.26319,1.17256,1.40005,1.25348,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,16971.8,1.25141,1.57262,1.31687,0.53586,0.36164,0.37837,0.26344,1.1714,1.40176,1.25231,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,17422.5,1.24896,1.56603,1.3158,0.53803,0.36113,0.37849,0.26388,1.17027,1.40378,1.25142,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,17857.6,1.24867,1.56568,1.31582,0.54024,0.36105,0.37894,0.26415,1.16988,1.40563,1.25078,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,18291.4,1.24725,1.55929,1.31272,0.54014,0.36007,0.37885,0.26434,1.16855,1.40771,1.24919,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,18747.6,1.24893,1.55618,1.31325,0.53657,0.36119,0.37964,0.26483,1.16736,1.4098,1.24803,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,19194.8,1.24359,1.55118,1.31037,0.53789,0.36112,0.38016,0.26555,1.16626,1.41187,1.24685,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,19633.5,1.24231,1.54756,1.30965,0.53972,0.35885,0.38032,0.26585,1.16533,1.41425,1.24604,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,20135.6,1.2407,1.54406,1.30737,0.54064,0.36012,0.38058,0.266,1.16451,1.41654,1.24533,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,20567.8,1.24191,1.54348,1.30584,0.53855,0.36293,0.38072,0.26632,1.16354,1.41843,1.24433,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,21047.2,1.23831,1.53812,1.30373,0.53654,0.36323,0.38154,0.26682,1.16261,1.42045,1.2434,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,21475.3,1.2376,1.53313,1.3038,0.53585,0.36474,0.38165,0.2674,1.16171,1.4219,1.24245,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,21910.3,1.2357,1.53216,1.30187,0.53807,0.36405,0.38182,0.26776,1.16086,1.42314,1.24165,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,22335.9,1.23648,1.52749,1.30219,0.53784,0.36586,0.38225,0.26822,1.16007,1.42344,1.2407,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,22761.5,1.23282,1.52443,1.29989,0.53683,0.36544,0.38247,0.2682,1.15895,1.42468,1.23971,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,23186.2,1.23087,1.5211,1.29831,0.53722,0.36563,0.38346,0.26872,1.15816,1.42522,1.23881,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,23632.2,1.23161,1.51953,1.2974,0.54203,0.36434,0.38413,0.26958,1.15679,1.42516,1.23747,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,24058.1,1.23002,1.51482,1.29674,0.54943,0.36163,0.38443,0.26996,1.15581,1.4261,1.23651,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,24484.5,1.22889,1.51462,1.29414,0.55195,0.36134,0.38543,0.27074,1.15503,1.42595,1.2354,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,24910.7,1.22545,1.50994,1.29301,0.5456,0.36445,0.38651,0.27176,1.15405,1.42564,1.23451,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,25333.2,1.22676,1.50784,1.29269,0.54774,0.36444,0.38689,0.2721,1.15333,1.42504,1.23379,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,25773.7,1.22302,1.50281,1.29064,0.54269,0.36634,0.3874,0.27265,1.15233,1.42382,1.23254,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,26204.9,1.22377,1.50173,1.29265,0.54707,0.3667,0.3887,0.27331,1.15136,1.42311,1.23157,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,26647.6,1.22334,1.49912,1.29045,0.54948,0.36556,0.38945,0.27396,1.15086,1.42168,1.23083,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,27088.1,1.21996,1.49345,1.28599,0.55072,0.3664,0.3902,0.27468,1.15019,1.41998,1.22996,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
