epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,850.843,3.25624,4.73424,3.72102,0.44287,0.01794,0.00726,0.00253,2.41082,3.98085,2.8159,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,1683.65,2.0012,3.19176,2.1928,0.32086,0.09119,0.05338,0.0274,1.87869,2.87572,2.00744,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,2499.41,1.73346,2.63722,1.82646,0.28833,0.13495,0.08233,0.04378,1.71731,2.62189,1.80322,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,3319.39,1.61109,2.37363,1.6763,0.29263,0.17349,0.12951,0.07375,1.57523,2.24125,1.63794,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4137.94,1.52837,2.19705,1.58817,0.36363,0.21373,0.17724,0.10766,1.5105,2.06981,1.54814,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4952.14,1.48486,2.08828,1.53539,0.39036,0.23176,0.20804,0.12853,1.44787,1.92891,1.4952,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5773.87,1.45428,2.01586,1.50129,0.40966,0.24639,0.22306,0.13877,1.41477,1.85367,1.45823,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,6620.99,1.4341,1.95826,1.47981,0.40797,0.2699,0.25073,0.1589,1.38389,1.76871,1.42597,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,7516.53,1.41419,1.91288,1.45763,0.42178,0.28827,0.2659,0.16891,1.36465,1.72691,1.41009,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,8389.88,1.40182,1.88347,1.44483,0.43067,0.2927,0.28527,0.18385,1.3339,1.66478,1.3826,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,9203,1.38882,1.85501,1.43132,0.42844,0.30718,0.29575,0.19276,1.32232,1.62991,1.36728,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,10056.9,1.38136,1.82485,1.41956,0.42641,0.31537,0.30494,0.20072,1.3043,1.60278,1.3499,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,10968.3,1.37127,1.81265,1.41088,0.4554,0.31638,0.3129,0.2052,1.29414,1.56868,1.33808,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,11835.1,1.36473,1.78789,1.40225,0.44153,0.33493,0.32051,0.21048,1.28259,1.54725,1.32851,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,12740.4,1.3592,1.77537,1.39503,0.43512,0.34464,0.32739,0.21739,1.27232,1.52572,1.31726,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,13565.8,1.35195,1.75546,1.38596,0.42749,0.35054,0.33315,0.22175,1.26377,1.51124,1.30877,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,14384.8,1.34894,1.74522,1.38227,0.48231,0.33927,0.33811,0.22638,1.25726,1.49218,1.30297,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,15209.6,1.34243,1.73211,1.37625,0.476,0.34917,0.34258,0.22983,1.25179,1.47739,1.2974,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,16030.2,1.33789,1.72267,1.37163,0.4764,0.3498,0.34579,0.23187,1.24669,1.46697,1.29257,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,16907.3,1.33289,1.70925,1.3654,0.488,0.35195,0.34959,0.23427,1.24254,1.45855,1.28804,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,17723.8,1.32958,1.70432,1.36312,0.48518,0.35876,0.35251,0.236,1.23672,1.45237,1.28315,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,18536.4,1.3266,1.6938,1.35913,0.477,0.3607,0.35584,0.2388,1.23341,1.44661,1.28019,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,19358.3,1.32295,1.68884,1.35422,0.47803,0.36056,0.35633,0.23996,1.23054,1.44154,1.27759,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,20173.7,1.32041,1.6801,1.35221,0.5025,0.35543,0.35782,0.24122,1.22744,1.43745,1.27462,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,21015.9,1.31596,1.67165,1.34863,0.50491,0.35776,0.35958,0.24263,1.22528,1.43333,1.27254,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,21879.6,1.31634,1.66674,1.34498,0.50526,0.35707,0.36108,0.24377,1.22339,1.4296,1.27072,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
