epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,838.987,3.19921,4.69322,3.65144,0.45351,0.0175,0.00805,0.0031,2.47136,4.04688,2.79204,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,1656.08,1.9879,3.17286,2.14956,0.16564,0.10695,0.05901,0.03009,1.85545,2.84324,1.98951,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,2489.02,1.72824,2.63299,1.81159,0.24513,0.16387,0.07741,0.04129,1.72243,2.79527,1.78807,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,3313.42,1.61211,2.37817,1.66958,0.32388,0.18766,0.13935,0.07966,1.5878,2.24118,1.63327,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4124.67,1.53208,2.19909,1.58282,0.36563,0.20262,0.17869,0.10748,1.50775,2.04632,1.5393,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,5005.96,1.48784,2.08875,1.53194,0.34719,0.23345,0.21401,0.13228,1.45659,1.92068,1.49173,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5894.39,1.45774,2.01437,1.49623,0.41486,0.25086,0.23041,0.14457,1.4083,1.83831,1.44589,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,6804,1.43647,1.95673,1.47383,0.41848,0.26437,0.24805,0.15835,1.38699,1.7673,1.41489,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,7656.61,1.41758,1.91319,1.45362,0.43302,0.28707,0.26969,0.17285,1.35498,1.71308,1.39136,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,8482.17,1.40471,1.88114,1.43843,0.45456,0.2812,0.28038,0.18343,1.3375,1.67366,1.37177,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,9297.79,1.39073,1.85596,1.42491,0.40636,0.30337,0.2919,0.19038,1.31908,1.63302,1.35225,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,10115.3,1.38384,1.82431,1.41191,0.45032,0.3164,0.30314,0.19947,1.30103,1.60069,1.33751,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,10933.3,1.37404,1.81224,1.40503,0.45327,0.32676,0.31582,0.20838,1.29003,1.57508,1.32375,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,11764.3,1.36781,1.79055,1.39761,0.48511,0.32157,0.31963,0.21292,1.28088,1.54751,1.31673,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,12591.4,1.36139,1.77552,1.38951,0.44645,0.32986,0.32673,0.21754,1.26896,1.52603,1.30497,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,13403.3,1.35376,1.75693,1.38091,0.45264,0.33692,0.33211,0.22219,1.25912,1.50959,1.29542,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,14218.7,1.35124,1.74458,1.37643,0.47493,0.33302,0.33618,0.22677,1.25235,1.49549,1.2891,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,15076.1,1.34451,1.73381,1.37014,0.48572,0.34189,0.33999,0.22913,1.24538,1.47987,1.28156,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,15937,1.33986,1.72435,1.36794,0.49364,0.34245,0.34305,0.23175,1.24023,1.47073,1.27796,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,16822.2,1.33457,1.71114,1.36062,0.49833,0.34903,0.3462,0.23409,1.23663,1.46057,1.27421,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
