epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1023.09,3.23017,4.71234,3.7064,0.52605,0.01076,0.00512,0.00186,2.45362,4.08851,2.90528,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,2030.5,1.97199,3.18256,2.14885,0.29362,0.09894,0.05688,0.03032,1.80916,2.86009,1.93344,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,3042.74,1.68977,2.60015,1.7897,0.26086,0.13193,0.07924,0.0453,1.65887,2.6465,1.74761,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,4033.74,1.56363,2.33032,1.65093,0.3214,0.17942,0.1519,0.09143,1.52812,2.14853,1.61964,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,5025.73,1.4818,2.14957,1.57008,0.37435,0.21757,0.19511,0.11886,1.44298,1.98047,1.51781,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,6016.62,1.43855,2.04286,1.52329,0.35008,0.23635,0.21469,0.13698,1.3982,1.8769,1.47691,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,7008.02,1.40977,1.97128,1.49256,0.40444,0.25188,0.23653,0.15121,1.3577,1.79079,1.44533,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,7999.21,1.38935,1.91513,1.47023,0.40129,0.26951,0.26079,0.16916,1.33776,1.72856,1.41461,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,8989.98,1.37099,1.87229,1.45085,0.42041,0.29159,0.2806,0.18406,1.31336,1.67183,1.39304,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,9981.67,1.35912,1.84053,1.43665,0.43935,0.30617,0.29566,0.19528,1.29261,1.62401,1.37568,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,10973,1.34621,1.81743,1.42608,0.43854,0.31636,0.30551,0.20266,1.27451,1.58811,1.35729,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
