epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,653.034,3.22335,4.70024,3.66285,0.30463,0.0181,0.00576,0.00206,2.36225,4.09826,2.69887,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,1209.24,1.96808,3.16794,2.11691,0.23574,0.11643,0.06184,0.03254,1.83246,2.87897,1.95535,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,1782.04,1.69344,2.60546,1.78249,0.24064,0.13396,0.09052,0.051,1.66512,2.58236,1.74414,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,2346.72,1.56746,2.33601,1.64549,0.32039,0.19193,0.1443,0.08609,1.51227,2.17348,1.59482,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2902.75,1.48603,2.15755,1.5649,0.34329,0.22529,0.18783,0.11671,1.45447,2.00492,1.52838,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3480.35,1.44298,2.04816,1.51772,0.37309,0.24609,0.21825,0.1376,1.40337,1.87534,1.47649,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4040.1,1.41201,1.97439,1.48623,0.41025,0.25308,0.23535,0.15181,1.35776,1.80051,1.43216,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,4604.26,1.39296,1.91534,1.46697,0.43752,0.26585,0.26235,0.17119,1.33567,1.72225,1.40243,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,5162.62,1.37404,1.87175,1.44611,0.40593,0.29169,0.27607,0.18155,1.30981,1.68117,1.38313,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,5738.65,1.36212,1.84055,1.43335,0.42412,0.29661,0.28813,0.19159,1.29038,1.62453,1.3653,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,6296.6,1.34991,1.81567,1.42189,0.48889,0.30045,0.30001,0.20023,1.27283,1.59105,1.34962,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,6857.93,1.3424,1.78263,1.41016,0.46843,0.31656,0.31314,0.21102,1.25818,1.5558,1.33571,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,7421.85,1.33301,1.77442,1.40506,0.48637,0.32819,0.32515,0.21932,1.24254,1.52528,1.32447,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,8002.3,1.32651,1.75012,1.3961,0.50065,0.3301,0.32862,0.22168,1.23321,1.50161,1.31374,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,8558.08,1.31973,1.73729,1.38767,0.48201,0.33781,0.33717,0.22878,1.22491,1.48439,1.30372,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,9165.64,1.31342,1.7194,1.381,0.47536,0.34002,0.34205,0.23319,1.21561,1.46801,1.29835,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,9748.45,1.30873,1.70809,1.37617,0.48023,0.34753,0.34825,0.23867,1.20712,1.45247,1.29158,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,10309.5,1.30226,1.69602,1.37106,0.52311,0.3468,0.3537,0.24235,1.19994,1.43827,1.28416,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,10865.7,1.29921,1.68897,1.36776,0.51507,0.35433,0.35503,0.2436,1.19649,1.42771,1.28008,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,11431.8,1.29507,1.67528,1.36147,0.52132,0.34947,0.35782,0.24617,1.19443,1.42102,1.27735,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,11989.4,1.2908,1.66915,1.35913,0.50722,0.35224,0.35985,0.24789,1.1908,1.41358,1.27404,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,12545.2,1.28813,1.65976,1.3553,0.50348,0.35446,0.3619,0.24916,1.18762,1.40884,1.27139,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,13104.6,1.28482,1.65377,1.35311,0.4885,0.36557,0.36371,0.25105,1.18596,1.40456,1.26959,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,13683.3,1.28338,1.64416,1.35014,0.48867,0.36866,0.36499,0.25214,1.1833,1.40038,1.26736,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,14239.3,1.27841,1.63517,1.34586,0.50638,0.3684,0.36775,0.25445,1.1817,1.39699,1.26552,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,14800.3,1.27859,1.63222,1.34301,0.51339,0.36469,0.369,0.25541,1.17945,1.39375,1.26364,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,15360.8,1.27651,1.62658,1.34108,0.51691,0.36441,0.37025,0.25601,1.17795,1.39171,1.26213,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,15939.5,1.2718,1.62129,1.33948,0.51284,0.36701,0.37171,0.2568,1.17727,1.39024,1.26145,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,16518.8,1.27223,1.61551,1.33792,0.51451,0.36618,0.37234,0.25744,1.17608,1.38842,1.26033,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,17076.6,1.26689,1.60713,1.3327,0.51693,0.36607,0.37293,0.2583,1.17492,1.38757,1.25929,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,17629.9,1.26658,1.60357,1.33358,0.51996,0.36674,0.37336,0.25887,1.17351,1.38663,1.25793,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,18208.8,1.26544,1.59832,1.33151,0.51618,0.37078,0.37424,0.25948,1.17266,1.38642,1.25722,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,18762,1.26217,1.59433,1.32906,0.51504,0.36905,0.37486,0.25974,1.17188,1.38686,1.25648,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,19339.6,1.25893,1.58986,1.32802,0.51911,0.36913,0.37495,0.26029,1.17124,1.38728,1.25584,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,19914.5,1.25519,1.58511,1.32618,0.51743,0.36912,0.37549,0.26061,1.17078,1.38819,1.25529,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,20473.7,1.25819,1.58226,1.32459,0.52391,0.36716,0.37556,0.26102,1.17021,1.38944,1.25484,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,21062.9,1.25284,1.57619,1.32213,0.52045,0.36828,0.37625,0.2616,1.16996,1.39076,1.25445,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,21618.2,1.2539,1.57264,1.31927,0.52435,0.36796,0.37662,0.26196,1.16927,1.39165,1.25369,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,22172.2,1.25118,1.57101,1.3175,0.52554,0.36596,0.37661,0.2623,1.16866,1.39407,1.25308,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
