epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,402.125,3.21574,4.70058,3.68138,0.46768,0.02143,0.00687,0.0024,2.44317,3.96811,2.78251,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,761.353,1.99879,3.16922,2.16373,0.31453,0.10143,0.06087,0.03082,1.86082,2.80721,1.98573,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,1125.87,1.7328,2.6354,1.81736,0.30751,0.14539,0.08708,0.04677,1.70119,2.61835,1.77729,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,1484.06,1.61151,2.37355,1.66763,0.36363,0.17607,0.13371,0.07731,1.57748,2.24821,1.63467,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1833.79,1.52857,2.1967,1.57982,0.37924,0.2092,0.17724,0.1065,1.49396,2.0372,1.53383,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2182.07,1.4853,2.0868,1.52813,0.39182,0.23225,0.20499,0.12727,1.45993,1.93882,1.4998,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2540.22,1.45549,2.01537,1.49544,0.38779,0.24925,0.22697,0.14281,1.4124,1.85011,1.45227,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2898.96,1.43441,1.95603,1.47378,0.45134,0.25879,0.25079,0.1598,1.38295,1.77019,1.41679,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3265.41,1.41453,1.91245,1.45225,0.38891,0.28763,0.26458,0.17014,1.37037,1.72438,1.40204,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3617.64,1.4018,1.88195,1.43945,0.43829,0.29034,0.27552,0.17874,1.34189,1.6758,1.37615,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
