epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,378.905,3.21921,4.68971,3.68606,0.41,0.01707,0.00781,0.00275,2.44621,3.93929,2.78971,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,727.624,2.00336,3.19637,2.1962,0.25257,0.10275,0.05727,0.02911,1.85907,2.85097,2.01745,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,1074.25,1.72349,2.6368,1.82245,0.23284,0.14505,0.08215,0.04388,1.71877,2.61996,1.79363,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,1420.97,1.60354,2.37419,1.67252,0.33962,0.17809,0.13885,0.08217,1.56874,2.22796,1.62901,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1765.56,1.52172,2.1928,1.58214,0.37538,0.20847,0.17868,0.10569,1.49817,2.03239,1.53997,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2111.23,1.48099,2.08392,1.53203,0.38941,0.23575,0.20905,0.1306,1.45262,1.93892,1.49837,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2455.74,1.45165,2.01119,1.49779,0.38461,0.2489,0.22319,0.1412,1.41458,1.85568,1.44823,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2801.74,1.43058,1.95588,1.47527,0.43879,0.26306,0.24769,0.15745,1.38538,1.77215,1.42013,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3146.63,1.41118,1.91065,1.45297,0.4226,0.27793,0.26176,0.16916,1.35868,1.73097,1.39738,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3490.81,1.39945,1.88089,1.43932,0.45528,0.29368,0.2791,0.18165,1.33824,1.67274,1.37773,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
