epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1001.77,3.22041,4.71292,3.67221,0.42376,0.01422,0.00917,0.00347,2.39413,3.99303,2.77337,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,1889.2,1.9718,3.18607,2.13522,0.36005,0.10124,0.06037,0.03172,1.80967,2.86358,1.93524,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,2861.68,1.69787,2.6104,1.78976,0.25948,0.14532,0.09675,0.05267,1.67528,2.66797,1.73664,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,3745.5,1.57182,2.33893,1.6494,0.32786,0.18397,0.14614,0.0873,1.52638,2.15383,1.60095,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4633.66,1.48581,2.15387,1.56433,0.34008,0.21833,0.18399,0.11343,1.45249,1.99391,1.52416,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,5518.12,1.44029,2.04064,1.51355,0.38434,0.23811,0.22192,0.1412,1.40099,1.86499,1.47235,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,6406.61,1.41007,1.96644,1.48219,0.39052,0.26084,0.23829,0.15346,1.36683,1.78818,1.4311,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,7294.89,1.38903,1.91002,1.46279,0.41864,0.27909,0.25907,0.16927,1.3406,1.71918,1.40745,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,8179.97,1.36937,1.86519,1.44297,0.45891,0.28953,0.27787,0.18121,1.31497,1.67296,1.38766,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,9068.59,1.35751,1.8332,1.43134,0.45686,0.29804,0.29182,0.19427,1.28981,1.61592,1.36613,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,10011.7,1.34425,1.808,1.42038,0.46332,0.3124,0.30921,0.20519,1.27734,1.57815,1.35419,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,10889.8,1.33822,1.77754,1.40901,0.4498,0.31896,0.31652,0.21211,1.26186,1.54442,1.33683,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,11768.9,1.32814,1.76636,1.40159,0.46612,0.33544,0.32931,0.22185,1.24483,1.51568,1.32479,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,12662.5,1.32153,1.74372,1.39491,0.47376,0.34781,0.33889,0.23004,1.23708,1.49258,1.31573,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,13554.7,1.31628,1.72966,1.38783,0.5005,0.34274,0.34281,0.23185,1.22811,1.47531,1.30737,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,14447.9,1.30842,1.71164,1.37968,0.48127,0.35501,0.35029,0.23757,1.21874,1.4603,1.3002,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
