epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,990.663,3.2115,4.71404,3.68995,0.43614,0.0145,0.00669,0.00239,2.44334,3.96894,2.78133,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,1913.8,2.00682,3.19253,2.18635,0.35252,0.10072,0.05998,0.03106,1.85084,2.84441,1.99632,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,2873.3,1.7319,2.63453,1.81939,0.29125,0.14336,0.08475,0.04499,1.71079,2.77993,1.79338,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,3802.19,1.611,2.37625,1.67237,0.35761,0.18598,0.14412,0.08211,1.57075,2.24952,1.63045,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4732.75,1.52944,2.20182,1.58638,0.37802,0.2141,0.18049,0.10798,1.50433,2.03892,1.53913,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,5654.55,1.48602,2.08971,1.53554,0.3786,0.22975,0.20305,0.12532,1.46129,1.9661,1.50457,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,6578.18,1.45599,2.01681,1.50154,0.39421,0.24366,0.22148,0.13945,1.41492,1.85745,1.45608,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,7507.51,1.43511,1.95781,1.48104,0.41701,0.26711,0.24555,0.15606,1.38851,1.77221,1.42923,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,8437.25,1.4144,1.91468,1.45694,0.44547,0.28037,0.26896,0.17115,1.35745,1.72463,1.40453,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,9356.72,1.40165,1.88125,1.44211,0.45745,0.28544,0.27505,0.17842,1.3352,1.67634,1.38339,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,10287.2,1.38819,1.85444,1.42927,0.43371,0.30146,0.28673,0.18698,1.3219,1.63291,1.36218,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,11208.5,1.37982,1.82221,1.41526,0.4666,0.30704,0.30066,0.19781,1.30343,1.59845,1.34592,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,12150.6,1.37168,1.81088,1.40851,0.47588,0.31343,0.3142,0.2079,1.28637,1.56891,1.32981,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,13103.4,1.36519,1.78749,1.39887,0.45136,0.3242,0.32147,0.2133,1.28017,1.53957,1.32177,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,14023.7,1.35774,1.7745,1.39042,0.46814,0.31763,0.32551,0.21565,1.27024,1.52606,1.31222,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,14948.4,1.34983,1.75582,1.38053,0.50943,0.32128,0.33132,0.2207,1.26062,1.50831,1.30295,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,15881.8,1.34726,1.74422,1.37641,0.47503,0.32826,0.33678,0.22581,1.25498,1.49555,1.29797,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,16803.3,1.33958,1.73202,1.36932,0.52057,0.32611,0.33895,0.2261,1.24764,1.48059,1.2898,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,17722.9,1.33608,1.72435,1.36593,0.50857,0.33725,0.34242,0.22981,1.24274,1.47061,1.28373,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,18644.9,1.33102,1.70842,1.35891,0.51448,0.33791,0.34587,0.23252,1.23783,1.45992,1.2779,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,19571.1,1.32721,1.70334,1.35752,0.50693,0.33373,0.34701,0.23432,1.23322,1.45283,1.27432,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,20490.1,1.32457,1.69048,1.35198,0.50354,0.33602,0.34897,0.23574,1.23171,1.4456,1.27204,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,21409.3,1.31976,1.68791,1.34858,0.49759,0.33864,0.35086,0.23702,1.22878,1.4409,1.26908,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,22354.9,1.31823,1.67704,1.34522,0.49246,0.34086,0.35218,0.23861,1.22713,1.43687,1.26743,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,23276.3,1.3136,1.66842,1.341,0.48672,0.3452,0.35365,0.24013,1.22566,1.43313,1.26577,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,24200,1.31365,1.66669,1.33929,0.4835,0.34763,0.3551,0.24079,1.22323,1.4301,1.26364,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,25160.8,1.31202,1.65948,1.33675,0.48842,0.34607,0.35636,0.2415,1.22102,1.42768,1.26174,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,26084.6,1.30777,1.6553,1.33406,0.47953,0.34917,0.35708,0.24264,1.21964,1.42633,1.26027,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,27019.8,1.3076,1.64819,1.3324,0.47948,0.34821,0.35811,0.2435,1.21745,1.42463,1.25854,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,27952.1,1.30336,1.64058,1.32894,0.47865,0.3501,0.35859,0.24385,1.21605,1.42361,1.25742,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,28873.7,1.30153,1.63573,1.32762,0.47658,0.35105,0.35949,0.2443,1.2149,1.42253,1.25612,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,29830.4,1.29978,1.63057,1.32477,0.482,0.35085,0.35999,0.24488,1.21356,1.42218,1.25484,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,30760.4,1.29861,1.62643,1.32227,0.48419,0.35328,0.36012,0.24521,1.21234,1.42243,1.25316,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,31686.5,1.29407,1.62239,1.32127,0.48479,0.35462,0.36074,0.24606,1.21164,1.4227,1.25243,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,32614.9,1.29132,1.61764,1.31852,0.48841,0.35302,0.36171,0.24641,1.21105,1.42337,1.25155,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,33555.4,1.29318,1.61419,1.31689,0.49067,0.354,0.36235,0.24696,1.2104,1.42393,1.2508,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
