epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1039.23,3.25272,4.73797,3.70925,0.55932,0.01703,0.00979,0.00374,2.39879,3.87266,2.7621,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882,0.00998645,0.00332882
2,2048.33,1.9756,3.17407,2.14122,0.28184,0.10893,0.06085,0.0319,1.80899,2.83172,1.93721,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818,0.0198545,0.00661818
3,3063.49,1.69134,2.59974,1.78546,0.26046,0.14306,0.08731,0.04855,1.67088,2.61973,1.74626,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354,0.0295906,0.00986354
4,4148.89,1.567,2.3317,1.65041,0.29793,0.18481,0.14755,0.08845,1.52262,2.16276,1.61158,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,5183.03,1.48447,2.15432,1.56655,0.34549,0.21034,0.18781,0.1169,1.44845,1.97693,1.51342,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,6238.2,1.44007,2.04351,1.51899,0.37357,0.24199,0.21493,0.13593,1.40376,1.8765,1.48087,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,7285.05,1.41065,1.9728,1.4898,0.41625,0.24432,0.23316,0.15025,1.36629,1.79792,1.44174,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,8319.59,1.39131,1.91618,1.47115,0.41638,0.26488,0.25731,0.16726,1.336,1.72719,1.41181,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,9375.56,1.37188,1.87122,1.45056,0.44418,0.28866,0.27543,0.18088,1.31783,1.67531,1.39754,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,10432.5,1.35959,1.84182,1.43799,0.45227,0.29191,0.28657,0.19128,1.28817,1.62809,1.37224,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,11483.2,1.34714,1.8158,1.4266,0.44607,0.30899,0.30037,0.20089,1.27421,1.58672,1.35583,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,12523.5,1.34029,1.78419,1.41442,0.48975,0.31065,0.31063,0.20849,1.26114,1.55586,1.34211,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,13574,1.3302,1.77222,1.40862,0.45992,0.33711,0.32317,0.2189,1.24511,1.53022,1.32996,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,14603.9,1.32471,1.75034,1.4003,0.47628,0.33188,0.32822,0.22333,1.23725,1.50698,1.32235,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,15639.5,1.31769,1.73705,1.39344,0.44162,0.34546,0.33579,0.22852,1.22773,1.48736,1.31281,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,16676,1.31226,1.72065,1.38773,0.49875,0.33491,0.339,0.23137,1.21966,1.4718,1.30808,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,17718.7,1.30863,1.70826,1.38238,0.46973,0.3482,0.34599,0.23662,1.21143,1.45493,1.29985,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,18748.4,1.30222,1.69688,1.37748,0.47277,0.34579,0.35063,0.24136,1.20873,1.4461,1.29545,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,19780.7,1.29934,1.69009,1.37509,0.49508,0.35436,0.35229,0.24256,1.20209,1.43463,1.29097,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,20812.7,1.29348,1.6765,1.3679,0.49224,0.36024,0.35647,0.24587,1.19849,1.42547,1.28611,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,21839.2,1.2905,1.66879,1.36586,0.4775,0.35735,0.35791,0.24698,1.19466,1.4185,1.28292,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,22867.7,1.28724,1.65857,1.36187,0.46157,0.36904,0.36063,0.24911,1.19158,1.41192,1.28017,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,23898.7,1.28459,1.65352,1.35833,0.47016,0.36219,0.36284,0.25103,1.18942,1.40574,1.27864,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,24943.1,1.28248,1.644,1.35612,0.4904,0.36621,0.36324,0.25121,1.18782,1.40176,1.27699,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,25969.9,1.27752,1.63578,1.35259,0.46778,0.37273,0.3652,0.25294,1.1861,1.39883,1.27544,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,27016.6,1.27741,1.63223,1.35007,0.47427,0.37068,0.36598,0.25357,1.18447,1.39602,1.27361,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,28045.2,1.27582,1.6261,1.34873,0.48012,0.37218,0.36719,0.25493,1.18263,1.39307,1.27189,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,29075.9,1.27238,1.62087,1.34652,0.48077,0.37372,0.36761,0.25523,1.18087,1.39086,1.26989,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,30103.3,1.27142,1.61528,1.34376,0.48606,0.37324,0.36839,0.25598,1.17946,1.3891,1.26838,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,31144.9,1.26804,1.60744,1.34119,0.48503,0.37607,0.36904,0.2564,1.1781,1.387,1.26721,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,32183,1.26709,1.60329,1.33973,0.48987,0.37562,0.37067,0.25767,1.17694,1.3861,1.26605,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,33211.4,1.26588,1.5973,1.33816,0.49312,0.37428,0.37155,0.25819,1.17567,1.38499,1.26505,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,34246.5,1.26315,1.59515,1.33659,0.49501,0.37383,0.37207,0.25838,1.17462,1.38476,1.26397,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,35296.5,1.25873,1.5901,1.33443,0.49307,0.37297,0.3725,0.25884,1.17339,1.38504,1.26294,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,36344,1.25683,1.58472,1.33222,0.49456,0.372,0.3732,0.25943,1.17229,1.38503,1.26186,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,37366.8,1.25827,1.58342,1.32959,0.49391,0.37249,0.37349,0.2599,1.1717,1.38575,1.26102,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,38390.1,1.25314,1.57701,1.32791,0.50374,0.36826,0.37344,0.26013,1.17057,1.38688,1.26009,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,39410,1.25503,1.57552,1.32623,0.5077,0.36861,0.37415,0.26088,1.17,1.38818,1.2596,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,40429.1,1.25137,1.57173,1.32602,0.51075,0.36682,0.37415,0.26108,1.16933,1.3902,1.25894,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,41458.9,1.24884,1.56441,1.32266,0.52155,0.36314,0.37451,0.26182,1.16855,1.39224,1.25819,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,42476.8,1.24944,1.56537,1.32209,0.53091,0.361,0.37517,0.26231,1.16761,1.39395,1.25694,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,43496.3,1.24713,1.55703,1.32095,0.53116,0.36145,0.37542,0.26238,1.1667,1.39563,1.25616,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,44520.1,1.24774,1.55526,1.31963,0.53137,0.36128,0.37605,0.26281,1.1657,1.39746,1.25495,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,45539.4,1.24301,1.54897,1.31809,0.52756,0.36385,0.37635,0.26329,1.16478,1.39897,1.25411,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,46565.4,1.24251,1.548,1.31813,0.52696,0.36334,0.37657,0.26383,1.16418,1.40146,1.25339,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,47587.3,1.24142,1.5446,1.31416,0.53305,0.36254,0.37753,0.26441,1.16394,1.40353,1.25272,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,48606.2,1.24147,1.54388,1.31447,0.53082,0.36442,0.37793,0.26493,1.16309,1.40423,1.25195,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,49639.5,1.23886,1.53697,1.31267,0.52893,0.36678,0.37841,0.26533,1.16176,1.40533,1.25068,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,50662.1,1.23865,1.53555,1.31146,0.53101,0.36651,0.37888,0.26561,1.16017,1.40636,1.24937,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,51685.2,1.23683,1.53296,1.30836,0.53207,0.36729,0.37927,0.26624,1.15936,1.40688,1.24837,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,52715.1,1.2367,1.52876,1.30904,0.53888,0.3661,0.37995,0.26661,1.1583,1.40687,1.24723,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,53733.6,1.23426,1.52726,1.30756,0.54422,0.36534,0.38069,0.2672,1.15761,1.4073,1.24646,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,54754.7,1.23213,1.52207,1.3048,0.54595,0.3666,0.38133,0.26797,1.15662,1.4081,1.24542,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,55775.1,1.23193,1.51977,1.30498,0.54852,0.36709,0.38212,0.2682,1.15557,1.40801,1.24421,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,56795.1,1.23069,1.51548,1.30537,0.54898,0.3648,0.38274,0.26854,1.1545,1.40746,1.24296,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,57816.2,1.23024,1.5155,1.3028,0.55242,0.36579,0.38354,0.26912,1.1539,1.40689,1.24196,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
