name,params_ckpt_M,params_trainable_M,params_deploy_M,params_orb_M,gflops,latency_ms
ab1-orb,2.674,0.0,2.674,0.0,6.55,6.63
ab2-mrfe,2.85,0.0,2.85,0.0,7.07,9.47
ab3-lcr,2.944,0.0,2.944,0.0,7.18,8.07
ab3b-lcrbase,2.922,0.0,2.922,0.0,7.14,7.6
ab4-rcr-fb,3.249,0.0,3.249,0.0,7.66,10.4
ab5-orbmrfe,2.925,0.0,2.925,0.0,7.07,9.5
baseline-s1,2.599,0.0,2.599,0.0,6.55,6.67
baseline-yolo11n,2.599,0.0,2.599,0.0,6.55,6.68
mrfelcrb,3.174,0.0,3.174,0.0,7.66,10.37
orblcrb,2.998,0.0,2.998,0.0,7.14,7.61
rcr-full,3.271,0.0,3.271,0.0,7.7,10.83
